Date/Time,Electricity:Facility [J](RunPeriod),ElectricityPurchased:Facility [J](RunPeriod),ElectricitySurplusSold:Facility [J](RunPeriod),ElectricityNet:Facility [J](RunPeriod),Source:Facility [J](RunPeriod),CO2:Facility [kg](RunPeriod),Electricity:Building [J](RunPeriod),Electricity:Plant [J](RunPeriod),Electricity:HVAC [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),Cooling:Electricity [J](RunPeriod),Pumps:Electricity [J](RunPeriod),Heating:Electricity [J](RunPeriod),Gas:Facility [J](RunPeriod),Heating:Gas [J](RunPeriod),Gas:Plant [J](RunPeriod),Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
January,,,,,,,,,,,,,,,,,,,18341769219.5501,11749.0020606209,4849.56439377197,1.79859435845426,11.4636057746726,8.50874729667685,0.123806954685903,22.2485660664629,0.0,0.267056202015559,0.0,0.0,0.155391499492918,8.660983555885282E-005,4.310315791619557E-004,23135.0787950029,0.0,0.0,1404.37855891677 
February,,,,,,,,,,,,,,,,,,,17413506676.9095,0.0,4604.1311653748,1.70756846473775,10.8834416730683,8.07812574741809,0.117541170069138,21.1225835990912,0.0,0.253540657215795,0.0,0.0,0.147527228566773,8.222657852836507E-005,4.092174069073617E-004,21964.2306173063,0.0,0.0,1333.30390292481 
March,,,,,,,,,,,,,,,,,,,22715107856.1056,0.0,6005.87451715431,2.22744347636974,14.196942410066,10.5375385344475,0.153326978028713,27.5534258294564,0.0,0.330731970384894,0.0,0.0,0.192442393756923,1.072607392965286E-004,5.338050346184812E-004,28651.3151374655,0.0,0.0,1739.23279910436 
April,,,,,,,,,,,,,,,,,,,22546034725.5877,0.0,5961.17158144539,2.21086416519113,14.0912717034924,10.4591055092002,0.152185734397716,27.3483401221384,0.0,0.328270265604552,0.0,0.0,0.191010006195175,1.064623759742228E-004,5.298318160513072E-004,28438.0576185299,0.0,0.0,1726.28733849256 
May,,,,,,,,,,,,,,,,,,,25119210274.4261,0.0,6641.51919655828,2.46318975951021,15.6995064215164,11.6528016463065,0.169554669352374,30.4696020628796,0.0,0.365735701595639,0.0,0.0,0.212809949444934,1.186129109158371E-004,5.903014414490121E-004,31683.6888530728,0.0,0.0,1923.30825253547 
June,,,,,,,,,,,,,,,,,,,23731017190.4807,0.0,6274.48094516308,2.32706354569856,14.8318857440505,11.0088188746642,0.160184366035742,28.7857238520536,0.0,0.345523610293395,0.0,0.0,0.201049177637748,1.120578631734472E-004,5.576789039762977E-004,29932.7151059207,0.0,0.0,1817.01815880656 
July,,,,,,,,,,,,,,,,,,,22577567530.1125,0.0,5969.50885496171,2.21395627200281,14.1109797063203,10.4737335772192,0.152398580828257,27.3865894140268,0.0,0.328729383238433,0.0,0.0,0.191277152115109,1.066112738771886E-004,5.305728369576388E-004,28477.8309854594,0.0,0.0,1728.70171786617 
August,,,,,,,,,,,,,,,,,,,24556943705.5004,0.0,6492.85591573429,2.40805389976136,15.3480898159377,11.3919661849817,0.165759370012126,29.7875727147723,0.0,0.357549100352081,0.0,0.0,0.208046427072995,1.159578881773700E-004,5.770881770792583E-004,30974.4834748901,0.0,0.0,1880.25706102406 
September,,,,,,,,,,,,,,,,,,,20970290863.38,0.0,5544.54490427761,2.05634672206302,13.1064317896124,9.72811793152191,0.141549463327813,25.4369628172799,0.0,0.305327434970806,0.0,0.0,0.177660304194551,9.902171345687767E-005,4.928018352894195E-004,26450.5198855796,0.0,0.0,1605.63700191919 
October,,,,,,,,,,,,,,,,,,,20371966090.6577,0.0,5386.34783436989,1.9976749948499,12.7324788066611,9.45055506945613,0.137510771111937,24.7111948679681,0.0,0.29661582627997,0.0,0.0,0.172591296720048,9.619642388008339E-005,4.787412031304496E-004,25695.8331050277,0.0,0.0,1559.82493376496 
November,,,,,,,,,,,,,,,,,,,18538375912.4076,0.0,4901.54659124049,1.81787314197068,11.5864849452546,8.59995258576564,0.12513403740875,22.4870499817504,0.0,0.269918753284645,0.0,0.0,0.157057120729912,8.753821105838574E-005,4.356518339415653E-004,23383.0653047247,0.0,0.0,1419.43202001212 
December,254499390591.761,254499390591.761,0.0,254499390591.761,1688861500904.65,67289.8080036679,191700207260.791,199117.13820224,62798984213.8382,88727133190.7598,102973074070.031,8704464511.67613,54094519702.1621,199117.13820224,0.0,3246280.31036113,3246280.31036113,3246280.31036113,17617600546.6059,3234531.30830051,4658.2621036037,1.7277109673994,11.0110037702318,8.17295788690117,0.118922232292777,21.3701503298878,0.0,0.256523875925972,0.0,0.0,0.149264753957555,8.319066881404559E-005,4.140143018003989E-004,22221.6609502519,0.0,0.0,1348.97705783305 
