Date/Time,Electricity:Facility [J](RunPeriod),ElectricityPurchased:Facility [J](RunPeriod),ElectricitySurplusSold:Facility [J](RunPeriod),ElectricityNet:Facility [J](RunPeriod),Source:Facility [J](RunPeriod),CO2:Facility [kg](RunPeriod),Electricity:Building [J](RunPeriod),Electricity:Plant [J](RunPeriod),Electricity:HVAC [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),Cooling:Electricity [J](RunPeriod),Pumps:Electricity [J](RunPeriod),Heating:Electricity [J](RunPeriod),Gas:Facility [J](RunPeriod),Heating:Gas [J](RunPeriod),Gas:Plant [J](RunPeriod),Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
January,,,,,,,,,,,,,,,,,,,16778358978.5352,63345542.4208888,4439.49841668475,1.64781336857775,10.4865415078593,7.78647697429881,0.113321069380077,20.3521664175685,0.0,0.244520317224757,0.0,0.0,0.142311589131865,7.923444245185005E-005,3.943049285961028E-004,21163.0978654729,0.0,0.0,1285.57823977838 
February,,,,,,,,,,,,,,,,,,,17272722945.0568,6456085.65319181,4567.24430873551,1.69402080980984,10.7954586841112,8.01312154706311,0.116597723329925,20.9518146625849,0.0,0.251514023427517,0.0,0.0,0.146351359174073,8.156251437206446E-005,4.059103643550717E-004,21786.6554504575,0.0,0.0,1322.61680441083 
March,,,,,,,,,,,,,,,,,,,23716287164.1879,0.0,6270.58632621125,2.32561911932027,14.8226794776174,11.0019856154669,0.160084938358266,28.7678563301601,0.0,0.345309141110572,0.0,0.0,0.200924384854995,1.119883079892927E-004,5.573327483584164E-004,29914.1356376667,0.0,0.0,1815.89032155292 
April,,,,,,,,,,,,,,,,,,,24865054149.6427,0.0,6574.32031716555,2.43826720991397,15.5406588435267,11.5348986200194,0.167839115510085,30.1613106835169,0.0,0.362035188418795,0.0,0.0,0.21065673875577,1.174127856946103E-004,5.843287725166041E-004,31363.1133457314,0.0,0.0,1903.84822306447 
May,,,,,,,,,,,,,,,,,,,28602744170.1475,0.0,7562.56555858703,2.80478509332467,17.8767151063425,13.2688130205317,0.193068523148493,34.6951286783892,0.0,0.416455955117344,0.0,0.0,0.242322448609486,1.350621579714346E-004,6.721644879984720E-004,36077.5851123652,0.0,0.0,2190.03277995618 
June,,,,,,,,,,,,,,,,,,,24998708933.0623,0.0,6609.65864190164,2.45137339797607,15.6241930831638,11.5969010740477,0.168741285298168,30.3234339358047,0.0,0.363981202065382,0.0,0.0,0.211789062080898,1.180439035819170E-004,5.874696599269637E-004,31531.6965346663,0.0,0.0,1914.08179908589 
July,,,,,,,,,,,,,,,,,,,23275039864.779,0.0,6153.92054024759,2.28235040914022,14.5468999154869,10.7972909932711,0.157106519087257,28.2326233559772,0.0,0.33888458043118,0.0,0.0,0.197186137734405,1.099047382414846E-004,5.469634368223041E-004,29357.5758577615,0.0,0.0,1782.10523981308 
August,,,,,,,,,,,,,,,,,,,24370681169.677,0.0,6443.60810126261,2.38978899549854,15.2316757310481,11.3055589946133,0.164502097895318,29.5616362588187,0.0,0.354837117830495,0.0,0.0,0.2064684108695,1.150783564832127E-004,5.727110074874117E-004,30739.5443917924,0.0,0.0,1865.99545532971 
September,,,,,,,,,,,,,,,,,,,20299680218.2728,0.0,5367.2354497113,1.99058664220383,12.6873001364204,9.41702165325675,0.13702284147334,24.623512104765,0.0,0.295563343978048,0.0,0.0,0.171978890809204,9.585508999068213E-005,4.770424851294039E-004,25604.6565487548,0.0,0.0,1554.29020503021 
October,,,,,,,,,,,,,,,,,,,19557655138.8254,0.0,5171.04401870541,1.9178236629132,12.2235344617658,9.07279621890104,0.132014172187069,23.7234356833954,0.0,0.284759458821293,0.0,0.0,0.165692454336125,9.235124756553049E-005,4.596048957623883E-004,24668.7158292201,0.0,0.0,1497.4754030003 
November,,,,,,,,,,,,,,,,,,,17139952346.3168,5921744.62218632,4532.11192326092,1.68098000469025,10.7124764934972,7.95150399197685,0.115700955386937,20.79076378311,0.0,0.249578965225561,0.0,0.0,0.145225132031458,8.093551229295918E-005,4.027901414700418E-004,21619.1875128369,0.0,0.0,1312.44328693976 
December,256787312679.189,256787312679.189,0.0,256787312679.189,1704415522821.16,67912.4529425938,162430110771.462,8586193.88586752,94348615713.8247,59457036701.4616,102973074070.031,13219377799.6479,81129237914.1766,8586193.88586752,0.0,343329562.689609,343329562.689609,343329562.689609,15910427600.645,267606189.993342,4220.65934010908,1.57085401749998,9.94430091296437,7.3935051367257,0.107679048865745,19.2994203980414,0.0,0.232616532087461,0.0,0.0,0.135491594788543,7.515874341733324E-005,3.739520487336153E-004,20068.3473768045,0.0,0.0,1222.04404649813 
