Date/Time,Electricity:Facility [J](RunPeriod),ElectricityPurchased:Facility [J](RunPeriod),ElectricitySurplusSold:Facility [J](RunPeriod),ElectricityNet:Facility [J](RunPeriod),Source:Facility [J](RunPeriod),CO2:Facility [kg](RunPeriod),Electricity:Building [J](RunPeriod),Electricity:Plant [J](RunPeriod),Electricity:HVAC [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),Cooling:Electricity [J](RunPeriod),Pumps:Electricity [J](RunPeriod),Heating:Electricity [J](RunPeriod),Gas:Facility [J](RunPeriod),Heating:Gas [J](RunPeriod),Gas:Plant [J](RunPeriod),Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
January,,,,,,,,,,,,,,,,,,,18405611380.1315,5244.75019494344,4866.44392215817,1.80485446120122,11.5035071181415,8.53836336731944,0.124237882375321,22.326006605505,0.0,0.26798572052336,0.0,0.0,0.155932353301266,8.691129751914630E-005,4.325318685502131E-004,23215.6050189355,0.0,0.0,1409.26668305063 
February,,,,,,,,,,,,,,,,,,,17482746110.3856,0.0,4622.43807158588,1.71435808358441,10.9267163189909,8.11024592060764,0.118008536245102,21.2065710318976,0.0,0.254548783367207,0.0,0.0,0.148113825047183,8.255352713323895E-005,4.108445335940501E-004,22051.564599651,0.0,0.0,1338.6053742828 
March,,,,,,,,,,,,,,,,,,,22696329349.2708,0.0,6000.90947994721,2.22560205598952,14.1852058432943,10.5288271851269,0.153200223107578,27.5306475006657,0.0,0.33045855532538,0.0,0.0,0.192283302247019,1.071720671872548E-004,5.333637397078636E-004,28627.6291871041,0.0,0.0,1737.79498092572 
April,,,,,,,,,,,,,,,,,,,22399683702.6733,0.0,5922.4763709868,2.19651298388413,13.9998023141708,10.3912132696702,0.151197864993043,27.1708163313431,0.0,0.326139394710917,0.0,0.0,0.189770120329044,1.057713064440206E-004,5.263925670128165E-004,28253.460243744,0.0,0.0,1715.0816466311 
May,,,,,,,,,,,,,,,,,,,24962567392.3622,0.0,6600.10281854056,2.44782935849503,15.6016046202264,11.580135013317,0.168497329898442,30.279594246936,0.0,0.363454981232789,0.0,0.0,0.211482870948088,1.178732432267314E-004,5.866203337205101E-004,31486.1100167105,0.0,0.0,1911.31454156753 
June,,,,,,,,,,,,,,,,,,,23676918093.668,0.0,6260.1771439658,2.3217585882651,14.7980738085425,10.9837223036528,0.159819197132256,28.7201016476198,0.0,0.3447359274438,0.0,0.0,0.200590850089551,1.118024072382975E-004,5.564075752011994E-004,29864.4781298406,0.0,0.0,1812.87594102909 
July,,,,,,,,,,,,,,,,,,,22516635184.1791,0.0,5953.39834269694,2.20798124616059,14.072896990112,10.4454670619408,0.151987287493208,27.3126784784097,0.0,0.327842208281643,0.0,0.0,0.190760933280362,1.063235513396915E-004,5.291409268282063E-004,28400.9750067663,0.0,0.0,1724.03629715829 
August,,,,,,,,,,,,,,,,,,,24467535117.651,0.0,6469.21628510692,2.39928649363686,15.2922094485319,11.3504895410784,0.165155862044143,29.6791200977111,0.0,0.356247311312994,0.0,0.0,0.207288957516735,1.155357008255453E-004,5.749870752647998E-004,30861.7094725523,0.0,0.0,1873.41129346291 
September,,,,,,,,,,,,,,,,,,,20934356313.48,0.0,5535.04380928409,2.05282298009984,13.0839726959249,9.71144789382334,0.141306905115989,25.3933742082515,0.0,0.304804227924263,0.0,0.0,0.177355866687799,9.885203051225050E-005,4.919573733667732E-004,26405.1944519508,0.0,0.0,1602.88559311221 
October,,,,,,,,,,,,,,,,,,,20404129937.4596,0.0,5394.85195546432,2.0008289816673,12.7525812109123,9.46547587798754,0.13772787707785,24.7502096141389,0.0,0.297084131889407,0.0,0.0,0.172863788830154,9.634830156468213E-005,4.794970535302962E-004,25736.4024264059,0.0,0.0,1562.28763029529 
November,,,,,,,,,,,,,,,,,,,18609722910.8228,0.0,4920.41073762147,1.82486942863528,11.6310768192641,8.63305045833044,0.125615629648052,22.5735938908281,0.0,0.270957565581571,0.0,0.0,0.157661572500486,8.787511158490226E-005,4.373284884043227E-004,23473.0576282767,0.0,0.0,1424.89486177133 
December,254234375169.098,254234375169.098,0.0,254234375169.098,1687102348501.97,67219.7135907368,191700207260.791,183727.70041863,62533984180.6103,88727133190.7598,102973074070.031,8670184825.54563,53863799355.0641,183727.70041863,0.0,2779194.35809318,2779194.35809318,2779194.35809318,17678139676.9736,2773949.60789823,4674.24465336634,1.73362905731341,11.0488402384951,8.20102020396435,0.119330383206157,21.443584171588,0.0,0.257403672175822,0.0,0.0,0.149776439351793,8.347648346307334E-005,4.154368732601387E-004,22298.0209531761,0.0,0.0,1353.60578484821 
