Time,ZN_1_FLR_1_SEC_1:BOULDER ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZN_1_FLR_1_SEC_1:BOULDER ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:BOULDER ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:BOULDER ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:BOULDER ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZN_1_FLR_1_SEC_2:BOULDER ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:BOULDER ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:BOULDER ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:BOULDER ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZN_1_FLR_1_SEC_3:BOULDER ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:BOULDER ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:BOULDER ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:BOULDER ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZN_1_FLR_1_SEC_4:BOULDER ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:BOULDER ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:BOULDER ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:BOULDER ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZN_1_FLR_1_SEC_5:BOULDER ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:BOULDER ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:BOULDER ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,6.667346E+03,0.000000E+00,3.439884E-01,0.000000E+00,3.050749E+03,0.000000E+00,1.574000E-01,0.000000E+00,6.671428E+03,0.000000E+00,3.441988E-01,0.000000E+00,3.049198E+03,0.000000E+00,1.573199E-01,0.000000E+00,1.064543E+04,0.000000E+00,5.492069E-01,0.000000E+00 
00:30:00,6.667457E+03,0.000000E+00,3.439941E-01,0.000000E+00,3.050800E+03,0.000000E+00,1.574026E-01,0.000000E+00,6.671537E+03,0.000000E+00,3.442045E-01,0.000000E+00,3.049248E+03,0.000000E+00,1.573225E-01,0.000000E+00,1.064562E+04,0.000000E+00,5.492166E-01,0.000000E+00 
00:45:00,6.667560E+03,0.000000E+00,3.439994E-01,0.000000E+00,3.050847E+03,0.000000E+00,1.574050E-01,0.000000E+00,6.671640E+03,0.000000E+00,3.442098E-01,0.000000E+00,3.049295E+03,0.000000E+00,1.573249E-01,0.000000E+00,1.064580E+04,0.000000E+00,5.492258E-01,0.000000E+00 
01:00:00,6.667657E+03,0.000000E+00,3.440044E-01,0.000000E+00,3.050891E+03,0.000000E+00,1.574073E-01,0.000000E+00,6.671736E+03,0.000000E+00,3.442147E-01,0.000000E+00,3.049339E+03,0.000000E+00,1.573272E-01,0.000000E+00,1.064596E+04,0.000000E+00,5.492344E-01,0.000000E+00 
01:15:00,6.667749E+03,0.000000E+00,3.440091E-01,0.000000E+00,3.050933E+03,0.000000E+00,1.574094E-01,0.000000E+00,6.671827E+03,0.000000E+00,3.442194E-01,0.000000E+00,3.049381E+03,0.000000E+00,1.573294E-01,0.000000E+00,1.064612E+04,0.000000E+00,5.492426E-01,0.000000E+00 
01:30:00,6.667835E+03,0.000000E+00,3.440136E-01,0.000000E+00,3.050972E+03,0.000000E+00,1.574115E-01,0.000000E+00,6.671913E+03,0.000000E+00,3.442239E-01,0.000000E+00,3.049420E+03,0.000000E+00,1.573314E-01,0.000000E+00,1.064627E+04,0.000000E+00,5.492503E-01,0.000000E+00 
01:45:00,6.667918E+03,0.000000E+00,3.440179E-01,0.000000E+00,3.051009E+03,0.000000E+00,1.574134E-01,0.000000E+00,6.671994E+03,0.000000E+00,3.442281E-01,0.000000E+00,3.049457E+03,0.000000E+00,1.573333E-01,0.000000E+00,1.064642E+04,0.000000E+00,5.492577E-01,0.000000E+00 
02:00:00,6.667996E+03,0.000000E+00,3.440219E-01,0.000000E+00,3.051045E+03,0.000000E+00,1.574152E-01,0.000000E+00,6.672072E+03,0.000000E+00,3.442321E-01,0.000000E+00,3.049493E+03,0.000000E+00,1.573351E-01,0.000000E+00,1.064655E+04,0.000000E+00,5.492648E-01,0.000000E+00 
02:15:00,6.668071E+03,0.000000E+00,3.440258E-01,0.000000E+00,3.051078E+03,0.000000E+00,1.574169E-01,0.000000E+00,6.672146E+03,0.000000E+00,3.442359E-01,0.000000E+00,3.049526E+03,0.000000E+00,1.573369E-01,0.000000E+00,1.064668E+04,0.000000E+00,5.492716E-01,0.000000E+00 
02:30:00,6.668142E+03,0.000000E+00,3.440294E-01,0.000000E+00,3.051110E+03,0.000000E+00,1.574186E-01,0.000000E+00,6.672216E+03,0.000000E+00,3.442395E-01,0.000000E+00,3.049558E+03,0.000000E+00,1.573385E-01,0.000000E+00,1.064681E+04,0.000000E+00,5.492781E-01,0.000000E+00 
02:45:00,6.668210E+03,0.000000E+00,3.440329E-01,0.000000E+00,3.051141E+03,0.000000E+00,1.574202E-01,0.000000E+00,6.672283E+03,0.000000E+00,3.442430E-01,0.000000E+00,3.049589E+03,0.000000E+00,1.573401E-01,0.000000E+00,1.064693E+04,0.000000E+00,5.492843E-01,0.000000E+00 
03:00:00,6.668275E+03,0.000000E+00,3.440363E-01,0.000000E+00,3.051170E+03,0.000000E+00,1.574217E-01,0.000000E+00,6.672348E+03,0.000000E+00,3.442463E-01,0.000000E+00,3.049618E+03,0.000000E+00,1.573416E-01,0.000000E+00,1.064705E+04,0.000000E+00,5.492903E-01,0.000000E+00 
03:15:00,6.668338E+03,0.000000E+00,3.440395E-01,0.000000E+00,3.051198E+03,0.000000E+00,1.574231E-01,0.000000E+00,6.672409E+03,0.000000E+00,3.442495E-01,0.000000E+00,3.049646E+03,0.000000E+00,1.573431E-01,0.000000E+00,1.064716E+04,0.000000E+00,5.492960E-01,0.000000E+00 
03:30:00,6.668397E+03,0.000000E+00,3.440426E-01,0.000000E+00,3.051225E+03,0.000000E+00,1.574245E-01,0.000000E+00,6.672469E+03,0.000000E+00,3.442525E-01,0.000000E+00,3.049673E+03,0.000000E+00,1.573444E-01,0.000000E+00,1.064727E+04,0.000000E+00,5.493016E-01,0.000000E+00 
03:45:00,6.668455E+03,0.000000E+00,3.440456E-01,0.000000E+00,3.051251E+03,0.000000E+00,1.574258E-01,0.000000E+00,6.672525E+03,0.000000E+00,3.442555E-01,0.000000E+00,3.049699E+03,0.000000E+00,1.573458E-01,0.000000E+00,1.064737E+04,0.000000E+00,5.493069E-01,0.000000E+00 
04:00:00,6.668510E+03,0.000000E+00,3.440484E-01,0.000000E+00,3.051275E+03,0.000000E+00,1.574271E-01,0.000000E+00,6.672580E+03,0.000000E+00,3.442583E-01,0.000000E+00,3.049723E+03,0.000000E+00,1.573470E-01,0.000000E+00,1.064747E+04,0.000000E+00,5.493121E-01,0.000000E+00 
