Time,TESTZONE:WINTER DESIGN:Des Heat Load [W],TESTZONE:SUMMER DESIGN:Des Sens Cool Load [W],TESTZONE:WINTER DESIGN:Des Heat Mass Flow [kg/s],TESTZONE:SUMMER DESIGN:Des Cool Mass Flow [kg/s] 
00:10:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
00:20:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
00:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
00:40:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
00:50:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
01:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
01:10:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
01:20:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
01:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
01:40:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
01:50:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
02:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
02:10:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
02:20:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
02:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
02:40:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
02:50:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
03:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
03:10:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
03:20:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
03:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
03:40:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
03:50:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
04:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
04:10:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
04:20:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
04:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
04:40:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
04:50:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
05:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
05:10:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
05:20:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
05:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
05:40:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
05:50:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
06:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
06:10:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
06:20:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
06:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
06:40:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
06:50:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
07:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
07:10:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
07:20:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
07:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
07:40:00,0.000000E+00,3.744326E+01,0.000000E+00,1.416659E-03 
07:50:00,0.000000E+00,1.278300E+02,0.000000E+00,4.825986E-03 
08:00:00,0.000000E+00,2.270881E+02,0.000000E+00,8.569821E-03 
08:10:00,1.579337E+03,2.322140E+03,3.747833E-02,1.251880E-01 
08:20:00,2.660222E+03,3.752633E+03,7.328429E-02,2.592113E-01 
08:30:00,3.840653E+03,5.315266E+03,1.118654E-01,4.116424E-01 
08:40:00,4.683933E+03,6.576052E+03,1.394243E-01,5.372241E-01 
08:50:00,5.512518E+03,7.778834E+03,1.665046E-01,6.604993E-01 
09:00:00,6.324047E+03,8.972954E+03,1.930294E-01,7.835372E-01 
09:10:00,5.421441E+03,8.273906E+03,1.776711E-01,8.037954E-01 
09:20:00,5.000307E+03,8.246571E+03,1.634311E-01,8.073642E-01 
09:30:00,4.466463E+03,8.090321E+03,1.459860E-01,7.928525E-01 
09:40:00,4.258200E+03,8.202140E+03,1.391855E-01,8.041408E-01 
09:50:00,4.054031E+03,8.322008E+03,1.325174E-01,8.160397E-01 
10:00:00,3.857020E+03,8.443946E+03,1.260814E-01,8.280664E-01 
10:10:00,3.785483E+03,8.464267E+03,1.237455E-01,8.300978E-01 
10:20:00,3.722163E+03,8.477504E+03,1.216773E-01,8.314206E-01 
10:30:00,3.663601E+03,8.486623E+03,1.197642E-01,8.323288E-01 
10:40:00,3.608660E+03,8.490327E+03,1.179690E-01,8.326981E-01 
10:50:00,3.556746E+03,8.488401E+03,1.162724E-01,8.325114E-01 
11:00:00,3.507519E+03,8.480693E+03,1.146635E-01,8.317564E-01 
11:10:00,3.460770E+03,8.466597E+03,1.131354E-01,8.303744E-01 
11:20:00,3.416216E+03,8.446199E+03,1.116791E-01,8.283740E-01 
11:30:00,3.373796E+03,8.419934E+03,1.102924E-01,8.257981E-01 
11:40:00,3.333335E+03,8.388459E+03,1.089698E-01,8.227111E-01 
