GenOpt(R) Version 3.1.0, December 8, 2011

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2011, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSPSOCCHJ algorithm
Start time: Thu May 22 02:26:43 IST 2014

Main Iterations


Simulation Number	Main Iteration	Step Number	Es_tot	azimuth_angle	wwr_height1	depth	lbybratio_length	shgc
1	1	1	4.94213704474467E10	90.0	1.2	0.5	5.0	0.25	Generation 1.
2	2	1	5.88619114616761E10	90.0	1.2	0.5	6.5	0.67	Generation 1.
3	3	1	5.61848160605527E10	90.0	0.9	0.4	8.0	0.67	Generation 1.
4	4	1	5.05614173737238E10	180.0	1.2	0.7	6.5	0.2	Generation 1.
5	5	1	6.63584828964599E10	180.0	1.5	1.0	5.0	0.67	Generation 1.
6	6	1	5.01530312060599E10	90.0	0.9	1.1	9.0	0.25	Generation 1.
7	7	1	4.78736188512614E10	180.0	0.6	1.1	6.5	0.25	Generation 1.
8	8	1	5.40798025465012E10	90.0	1.5	0.5	8.0	0.25	Generation 1.
9	9	1	5.28220481138434E10	0.0	1.8	0.8	7.5	0.25	Generation 1.
10	10	1	5.06964155613026E10	180.0	0.9	0.7	6.0	0.28	Generation 1.
11	11	1	5.32880869092121E10	180.0	1.5	0.7	6.5	0.25	Generation 1.
12	12	1	5.11548061708191E10	90.0	0.9	1.0	10.0	0.25	Generation 1.
13	13	1	5.01627038460117E10	90.0	1.2	1.3	6.5	0.25	Generation 1.
14	14	1	6.02077422086377E10	90.0	2.4	1.0	9.5	0.2	Generation 1.
15	15	1	5.05316947264624E10	90.0	0.9	0.4	7.5	0.28	Generation 1.
16	16	1	4.91110746907351E10	180.0	0.9	0.4	7.5	0.2	Generation 1.
17	17	1	5.13556444897996E10	90.0	1.2	0.5	5.0	0.28	Generation 2.
18	18	1	5.00394820933666E10	90.0	1.2	0.5	6.0	0.25	Generation 2.
19	19	1	5.54187691523533E10	90.0	0.9	0.6	7.5	0.67	Generation 2.
20	20	1	5.15671953989178E10	180.0	1.2	0.6	6.5	0.25	Generation 2.
21	21	1	5.24690023553343E10	180.0	1.5	0.9	5.0	0.2	Generation 2.
22	22	1	5.48929190268258E10	90.0	0.9	1.1	8.5	0.67	Generation 2.
23	23	1	5.31160167769487E10	180.0	0.6	1.1	6.5	0.67	Generation 2.
24	24	1	5.88981950062258E10	90.0	1.2	0.6	7.5	0.67	Generation 2.
25	25	1	5.14340828951929E10	0.0	1.8	0.9	7.5	0.2	Generation 2.
26	26	1	5.70179535648377E10	180.0	0.9	0.8	6.5	0.67	Generation 2.
27	27	1	5.15470630971718E10	180.0	1.2	0.8	6.5	0.25	Generation 2.
28	28	1	5.58068137552149E10	90.0	0.9	0.9	9.5	0.67	Generation 2.
29	29	1	4.95524985707269E10	90.0	1.2	1.1	6.5	0.2	Generation 2.
30	30	1	5.84634848376174E10	90.0	2.1	1.1	9.0	0.28	Generation 2.
31	31	1	4.85513108112091E10	90.0	0.9	0.4	7.5	0.2	Generation 2.
32	32	1	5.64800931669369E10	180.0	0.9	0.4	7.5	0.67	Generation 2.
33	33	1	5.93703694051213E10	90.0	1.2	0.5	5.0	0.67	Generation 3.
34	34	1	4.92798416597722E10	90.0	1.2	0.5	6.0	0.2	Generation 3.
35	35	1	4.89041567097458E10	90.0	0.9	0.7	7.5	0.25	Generation 3.
36	36	1	6.05374537430504E10	180.0	1.2	0.6	6.5	0.67	Generation 3.
37	37	1	5.39703656539393E10	180.0	1.5	0.8	5.0	0.25	Generation 3.
38	38	1	4.98613719406512E10	90.0	0.9	1.1	8.5	0.28	Generation 3.
39	39	1	4.85173309776123E10	180.0	0.6	1.1	6.5	0.28	Generation 3.
40	40	1	5.86504989120918E10	90.0	1.2	0.7	7.5	0.67	Generation 3.
41	41	1	6.36312540667618E10	0.0	1.8	1.0	7.5	0.67	Generation 3.
42	42	1	4.9715425438895E10	180.0	0.9	0.8	7.0	0.25	Generation 3.
43	43	1	5.15385012625519E10	180.0	1.2	0.9	6.5	0.25	Generation 3.
44	44	1	5.6020635510861E10	90.0	0.9	0.8	9.5	0.67	Generation 3.
45	45	1	5.02499211982315E10	90.0	1.2	1.0	6.5	0.25	Generation 3.
46	46	1	5.63947060984397E10	90.0	1.8	1.1	8.5	0.25	Generation 3.
47	47	1	5.59486975517845E10	90.0	0.9	0.4	7.5	0.67	Generation 3.
48	48	1	5.0518816647591E10	180.0	0.9	0.4	7.5	0.28	Generation 3.
48	49	1	5.93703694051213E10	90.0	1.2	0.5	5.0	0.67	Generation 4.
48	50	1	5.00394820933666E10	90.0	1.2	0.5	6.0	0.25	Generation 4.
49	51	1	4.88623347560965E10	90.0	0.9	0.8	7.5	0.25	Generation 4.
49	52	1	5.05614173737238E10	180.0	1.2	0.7	6.5	0.2	Generation 4.
50	53	1	5.50289090244028E10	180.0	1.5	0.8	5.0	0.28	Generation 4.
51	54	1	4.9676654250008E10	90.0	0.9	1.1	8.5	0.25	Generation 4.
51	55	1	4.78736188512614E10	180.0	0.6	1.1	6.5	0.25	Generation 4.
52	56	1	5.14929192239339E10	90.0	1.2	0.6	7.5	0.28	Generation 4.
53	57	1	5.36088990930727E10	0.0	1.8	1.0	7.5	0.28	Generation 4.
54	58	1	5.04751064487089E10	180.0	0.9	0.8	7.0	0.28	Generation 4.
54	59	1	5.15385012625519E10	180.0	1.2	0.9	6.5	0.25	Generation 4.
55	60	1	5.07117923778066E10	90.0	0.9	0.9	9.5	0.25	Generation 4.
56	61	1	5.04214507503604E10	90.0	1.2	1.0	6.5	0.28	Generation 4.
57	62	1	6.45832491300454E10	90.0	1.8	1.0	8.5	0.67	Generation 4.
57	63	1	4.85513108112091E10	90.0	0.9	0.4	7.5	0.2	Generation 4.
58	64	1	4.980107781676E10	180.0	0.9	0.4	7.5	0.25	Generation 4.
58	65	1	5.13556444897996E10	90.0	1.2	0.5	5.0	0.28	Generation 5.
59	66	1	5.15336580409423E10	90.0	1.2	0.5	6.0	0.28	Generation 5.
60	67	1	5.5010550473883E10	90.0	0.9	0.8	7.5	0.67	Generation 5.
61	68	1	6.0506916563877E10	180.0	1.2	0.7	6.5	0.67	Generation 5.
61	69	1	5.50289090244028E10	180.0	1.5	0.8	5.0	0.28	Generation 5.
61	70	1	4.9676654250008E10	90.0	0.9	1.1	8.5	0.25	Generation 5.
61	71	1	4.78736188512614E10	180.0	0.6	1.1	6.5	0.25	Generation 5.
61	72	1	5.14929192239339E10	90.0	1.2	0.6	7.5	0.28	Generation 5.
62	73	1	5.13790148330497E10	0.0	1.8	1.0	7.5	0.2	Generation 5.
62	74	1	5.04751064487089E10	180.0	0.9	0.8	7.0	0.28	Generation 5.
62	75	1	5.15385012625519E10	180.0	1.2	0.9	6.5	0.25	Generation 5.
63	76	1	5.08919891002644E10	90.0	0.9	0.9	9.5	0.28	Generation 5.
64	77	1	4.95789798290302E10	90.0	1.2	1.0	6.5	0.2	Generation 5.
65	78	1	5.64533373851807E10	90.0	1.8	1.0	8.5	0.25	Generation 5.
