GenOpt(R) Version 3.1.0, December 8, 2011

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2011, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSPSOCCHJ algorithm
Start time: Sat Nov 15 21:54:14 UTC 2014

Main Iterations


Simulation Number	Main Iteration	Step Number	Es_tot	azimuth_angle	lbybratio_length	shgc
1	1	1	5.77565340672574E10	90.0	5.0	0.25	Generation 1.
2	2	1	5.9531699001178E10	90.0	7.0	0.25	Generation 1.
3	3	1	5.48780991159587E10	0.0	8.5	0.2	Generation 1.
4	4	1	6.90285199727755E10	0.0	10.0	0.67	Generation 1.
5	5	1	6.21153265152597E10	90.0	9.5	0.28	Generation 1.
6	6	1	5.84310874355325E10	90.0	6.5	0.28	Generation 1.
7	7	1	6.17747668952091E10	90.0	9.5	0.2	Generation 1.
8	8	1	6.02363496208919E10	180.0	8.5	0.25	Generation 1.
9	9	1	7.14482173757261E10	180.0	8.0	0.67	Generation 1.
10	10	1	6.21256256831126E10	90.0	9.0	0.25	Generation 1.
11	11	1	5.77147646039755E10	180.0	5.0	0.2	Generation 1.
12	12	1	5.45760486794623E10	0.0	7.5	0.2	Generation 1.
13	13	1	6.27993699033346E10	90.0	10.0	0.28	Generation 1.
14	14	1	5.84754649930983E10	90.0	6.0	0.25	Generation 1.
15	15	1	5.95338866342827E10	90.0	7.5	0.28	Generation 1.
16	16	1	6.35467976643423E10	90.0	10.0	0.25	Generation 1.
17	17	1	7.05124895541016E10	90.0	5.0	0.67	Generation 2.
18	18	1	5.89777329529154E10	90.0	7.5	0.2	Generation 2.
18	19	1	5.48780991159587E10	0.0	8.5	0.2	Generation 2.
19	20	1	6.89576476260069E10	0.0	9.5	0.67	Generation 2.
20	21	1	6.01364522409999E10	90.0	7.5	0.25	Generation 2.
21	22	1	5.7717402657547E10	90.0	6.5	0.2	Generation 2.
22	23	1	6.14439531128601E10	90.0	9.0	0.28	Generation 2.
23	24	1	5.96411908322575E10	90.0	8.0	0.2	Generation 2.
24	25	1	6.0148582448705E10	90.0	8.0	0.28	Generation 2.
18	26	1	5.89777329529154E10	90.0	7.5	0.2	Generation 2.
25	27	1	5.71539883301011E10	90.0	6.0	0.2	Generation 2.
26	28	1	5.71937841249266E10	0.0	7.5	0.28	Generation 2.
27	29	1	7.0833753665366E10	90.0	8.0	0.67	Generation 2.
28	30	1	7.00644384939053E10	90.0	6.0	0.67	Generation 2.
27	31	1	7.0833753665366E10	90.0	8.0	0.67	Generation 2.
29	32	1	6.1049911026025E10	90.0	9.0	0.2	Generation 2.
29	33	1	5.77565340672574E10	90.0	5.0	0.25	Generation 3.
29	34	1	6.0148582448705E10	90.0	8.0	0.28	Generation 3.
29	35	1	5.48780991159587E10	0.0	8.5	0.2	Generation 3.
30	36	1	5.51029127475645E10	0.0	9.0	0.2	Generation 3.
31	37	1	7.01119314186731E10	90.0	6.5	0.67	Generation 3.
31	38	1	7.01119314186731E10	90.0	6.5	0.67	Generation 3.
32	39	1	6.03370481710295E10	90.0	8.5	0.2	Generation 3.
32	40	1	5.45760486794623E10	0.0	7.5	0.2	Generation 3.
33	41	1	5.72069577757888E10	0.0	8.0	0.28	Generation 3.
33	42	1	5.7717402657547E10	90.0	6.5	0.2	Generation 3.
34	43	1	5.45206184846484E10	0.0	7.0	0.2	Generation 3.
32	44	1	5.45760486794623E10	0.0	7.5	0.2	Generation 3.
35	45	1	5.89598616227187E10	90.0	7.0	0.28	Generation 3.
35	46	1	5.84754649930983E10	90.0	6.0	0.25	Generation 3.
35	47	1	5.96411908322575E10	90.0	8.0	0.2	Generation 3.
35	48	1	5.96411908322575E10	90.0	8.0	0.2	Generation 3.
35	49	1	5.77565340672574E10	90.0	5.0	0.25	Generation 4.
35	50	1	7.0833753665366E10	90.0	8.0	0.67	Generation 4.
36	51	1	5.65875416533598E10	0.0	8.5	0.25	Generation 4.
37	52	1	5.74253964974497E10	0.0	9.0	0.28	Generation 4.
37	53	1	5.7717402657547E10	90.0	6.5	0.2	Generation 4.
37	54	1	5.7717402657547E10	90.0	6.5	0.2	Generation 4.
38	55	1	7.12397654164773E10	90.0	8.5	0.67	Generation 4.
38	56	1	5.71937841249266E10	0.0	7.5	0.28	Generation 4.
39	57	1	5.46986174969906E10	0.0	8.0	0.2	Generation 4.
39	58	1	7.00644384939053E10	90.0	6.0	0.67	Generation 4.
40	59	1	5.64301508951497E10	0.0	7.5	0.25	Generation 4.
41	60	1	6.98006858110985E10	0.0	7.5	0.67	Generation 4.
42	61	1	5.89874234393703E10	90.0	6.5	0.25	Generation 4.
43	62	1	5.79700541851504E10	90.0	6.0	0.28	Generation 4.
43	63	1	6.0148582448705E10	90.0	8.0	0.28	Generation 4.
44	64	1	7.04935425026833E10	90.0	7.5	0.67	Generation 4.
44	65	1	5.89598616227187E10	90.0	7.0	0.28	Generation 5.
44	66	1	5.46986174969906E10	0.0	8.0	0.2	Generation 5.
44	67	1	5.48780991159587E10	0.0	8.5	0.2	Generation 5.
44	68	1	5.48780991159587E10	0.0	8.5	0.2	Generation 5.
44	69	1	5.89598616227187E10	90.0	7.0	0.28	Generation 5.
44	70	1	5.7717402657547E10	90.0	6.5	0.2	Generation 5.
44	71	1	5.46986174969906E10	0.0	8.0	0.2	Generation 5.
44	72	1	5.45760486794623E10	0.0	7.5	0.2	Generation 5.
44	73	1	5.71937841249266E10	0.0	7.5	0.28	Generation 5.
44	74	1	5.7717402657547E10	90.0	6.5	0.2	Generation 5.
44	75	1	5.45206184846484E10	0.0	7.0	0.2	Generation 5.
44	76	1	5.45760486794623E10	0.0	7.5	0.2	Generation 5.
44	77	1	5.89777329529154E10	90.0	7.5	0.2	Generation 5.
44	78	1	5.84754649930983E10	90.0	6.0	0.25	Generation 5.
44	79	1	5.45206184846484E10	0.0	7.0	0.2	Generation 5.
44	80	1	5.45760486794623E10	0.0	7.5	0.2	Generation 5.
44	81	1	7.00644384939053E10	90.0	6.0	0.67	Generation 6.
44	82	1	5.46986174969906E10	0.0	8.0	0.2	Generation 6.
44	83	1	5.46986174969906E10	0.0	8.0	0.2	Generation 6.
44	84	1	5.46986174969906E10	0.0	8.0	0.2	Generation 6.
44	85	1	5.7717402657547E10	90.0	6.5	0.2	Generation 6.
44	86	1	5.89598616227187E10	90.0	7.0	0.28	Generation 6.
44	87	1	5.45760486794623E10	0.0	7.5	0.2	Generation 6.
44	88	1	5.45760486794623E10	0.0	7.5	0.2	Generation 6.
44	89	1	5.46986174969906E10	0.0	8.0	0.2	Generation 6.
45	90	1	5.83140582858348E10	90.0	7.0	0.2	Generation 6.
45	91	1	5.45206184846484E10	0.0	7.0	0.2	Generation 6.
44	92	1	5.45760486794623E10	0.0	7.5	0.2	Generation 6.
45	93	1	5.95338866342827E10	90.0	7.5	0.28	Generation 6.
45	94	1	5.84310874355325E10	90.0	6.5	0.28	Generation 6.
46	95	1	5.45527020934872E10	0.0	6.5	0.2	Generation 6.
44	96	1	5.45760486794623E10	0.0	7.5	0.2	Generation 6.
47	97	1	5.80672013849752E10	90.0	5.5	0.25	Generation 7.
47	98	1	5.72069577757888E10	0.0	8.0	0.28	Generation 7.
47	99	1	5.45760486794623E10	0.0	7.5	0.2	Generation 7.
47	100	1	5.45760486794623E10	0.0	7.5	0.2	Generation 7.
47	101	1	5.7717402657547E10	90.0	6.5	0.2	Generation 7.
47	102	1	5.83140582858348E10	90.0	7.0	0.2	Generation 7.
48	103	1	5.72634222037626E10	0.0	7.0	0.28	Generation 7.
47	104	1	5.45760486794623E10	0.0	7.5	0.2	Generation 7.
49	105	1	6.94468799576062E10	0.0	8.0	0.67	Generation 7.
47	106	1	5.83140582858348E10	90.0	7.0	0.2	Generation 7.
