GenOpt(R) Version 3.1.0, December 8, 2011

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2011, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSPSOCCHJ algorithm
Start time: Mon Jun 02 23:09:46 IST 2014

All Iterations


Simulation Number	Main Iteration	Sub Iteration	Step Number	Es_tot	azimuth_angle	wwr_height1	depth	lbybratio_length	shgc
1	1	1	1	4.94213704474467E10	90.0	1.2	0.5	5.0	0.25	Generation 1.
2	2	1	1	5.94128079331971E10	130.0	1.2	0.8	6.7	0.67	Generation 1.
3	3	1	1	5.62450355936323E10	130.0	0.9	0.6	7.8	0.67	Generation 1.
4	4	1	1	5.05265283207021E10	170.0	1.2	1.2	6.5	0.2	Generation 1.
5	5	1	1	6.51377682616951E10	160.0	1.5	1.8	5.2	0.67	Generation 1.
6	6	1	1	4.95291342033108E10	70.0	0.9	2.1	9.0	0.25	Generation 1.
7	7	1	1	4.77627327899148E10	150.0	0.6	2.2	6.4	0.25	Generation 1.
8	8	1	1	5.41828344452238E10	100.0	1.5	0.8	8.1	0.25	Generation 1.
9	9	1	1	5.23917436816856E10	0.0	1.8	1.6	7.4	0.25	Generation 1.
10	10	1	1	5.06363214552371E10	180.0	0.9	1.3	6.1	0.28	Generation 1.
11	11	1	1	5.32243547221077E10	170.0	1.5	1.3	6.4	0.25	Generation 1.
12	12	1	1	5.0715719292742E10	120.0	0.9	2.0	9.9	0.25	Generation 1.
13	13	1	1	4.94679110742584E10	50.0	1.2	2.7	6.5	0.25	Generation 1.
14	14	1	1	5.97520990448355E10	90.0	2.4	2.0	9.5	0.2	Generation 1.
15	15	1	1	4.99491084861961E10	50.0	0.9	0.6	7.7	0.28	Generation 1.
16	16	1	1	4.91547568575867E10	170.0	0.9	0.7	7.7	0.2	Generation 1.
17	17	1	1	5.13556444897996E10	90.0	1.2	0.5	5.0	0.28	Generation 2.
18	18	1	1	5.06115205994928E10	120.0	1.2	0.7	6.3	0.25	Generation 2.
19	19	1	1	5.56277718014551E10	130.0	0.9	1.0	7.5	0.67	Generation 2.
20	20	1	1	5.14986234367895E10	170.0	1.2	1.1	6.8	0.25	Generation 2.
21	21	1	1	5.0677347855034E10	140.0	1.5	1.5	5.2	0.2	Generation 2.
22	22	1	1	5.33051087533996E10	90.0	0.9	2.1	8.4	0.67	Generation 2.
23	23	1	1	5.26979396085962E10	150.0	0.6	2.2	6.4	0.67	Generation 2.
24	24	1	1	5.72686694164883E10	110.0	1.2	1.1	7.7	0.67	Generation 2.
25	25	1	1	4.98000078574838E10	10.0	1.8	1.9	7.2	0.2	Generation 2.
26	26	1	1	5.61923956112018E10	150.0	0.9	1.5	6.8	0.67	Generation 2.
27	27	1	1	5.14924189765238E10	170.0	1.2	1.5	6.4	0.25	Generation 2.
28	28	1	1	5.45252882549318E10	130.0	0.9	1.7	9.4	0.67	Generation 2.
29	29	1	1	4.95146560616362E10	80.0	1.2	2.2	6.8	0.2	Generation 2.
30	30	1	1	5.73828989333816E10	80.0	2.1	2.2	8.8	0.28	Generation 2.
31	31	1	1	4.85307528881657E10	80.0	0.9	0.6	7.7	0.2	Generation 2.
32	32	1	1	5.62583670290306E10	170.0	0.9	0.7	7.7	0.67	Generation 2.
33	33	1	1	5.93703694051213E10	90.0	1.2	0.5	5.0	0.67	Generation 3.
34	34	1	1	4.95355402140005E10	110.0	1.2	0.7	6.1	0.2	Generation 3.
35	35	1	1	4.84482718222385E10	130.0	0.9	1.2	7.3	0.25	Generation 3.
36	36	1	1	5.99622763538877E10	170.0	1.2	1.1	6.9	0.67	Generation 3.
37	37	1	1	5.22331020487656E10	130.0	1.5	1.3	5.2	0.25	Generation 3.
38	38	1	1	4.94117465647713E10	90.0	0.9	2.1	8.2	0.28	Generation 3.
39	39	1	1	4.83682417508215E10	150.0	0.6	2.2	6.4	0.28	Generation 3.
40	40	1	1	5.71731292557588E10	110.0	1.2	1.2	7.6	0.67	Generation 3.
41	41	1	1	6.32881292029792E10	20.0	1.8	2.1	7.1	0.67	Generation 3.
42	42	1	1	4.96447313655821E10	150.0	0.9	1.5	7.0	0.25	Generation 3.
43	43	1	1	5.14885684698605E10	170.0	1.2	1.6	6.4	0.25	Generation 3.
44	44	1	1	5.45072402614259E10	130.0	0.9	1.6	9.3	0.67	Generation 3.
45	45	1	1	5.03600647352892E10	90.0	1.2	2.1	6.9	0.25	Generation 3.
46	46	1	1	5.55730817625702E10	80.0	1.8	2.1	8.4	0.25	Generation 3.
47	47	1	1	5.54924834449964E10	90.0	0.9	0.6	7.7	0.67	Generation 3.
48	48	1	1	5.05795579525785E10	160.0	0.9	0.7	7.7	0.28	Generation 3.
48	49	1	1	5.93703694051213E10	90.0	1.2	0.5	5.0	0.67	Generation 4.
49	50	1	1	5.04257924722059E10	110.0	1.2	0.7	6.1	0.25	Generation 4.
50	51	1	1	4.83860834563044E10	130.0	0.9	1.3	7.2	0.25	Generation 4.
51	52	1	1	5.05422143944614E10	170.0	1.2	1.2	6.7	0.2	Generation 4.
52	53	1	1	5.25965902217578E10	130.0	1.5	1.4	5.4	0.28	Generation 4.
53	54	1	1	4.91554332095171E10	100.0	0.9	2.1	8.0	0.25	Generation 4.
53	55	1	1	4.77627327899148E10	150.0	0.6	2.2	6.4	0.25	Generation 4.
54	56	1	1	5.17907336317962E10	110.0	1.2	1.1	7.8	0.28	Generation 4.
55	57	1	1	5.34183732360601E10	20.0	1.8	2.1	7.1	0.28	Generation 4.
56	58	1	1	5.02129479896639E10	140.0	0.9	1.6	7.1	0.28	Generation 4.
57	59	1	1	5.14851199743239E10	170.0	1.2	1.7	6.4	0.25	Generation 4.
58	60	1	1	4.99194039085776E10	130.0	0.9	1.7	9.5	0.25	Generation 4.
59	61	1	1	4.98461102501573E10	70.0	1.2	2.3	6.7	0.25	Generation 4.
60	62	1	1	6.27383606573634E10	80.0	1.8	2.0	8.2	0.67	Generation 4.
61	63	1	1	4.86439912161418E10	90.0	0.9	0.6	7.7	0.2	Generation 4.
62	64	1	1	4.98950670202067E10	160.0	0.9	0.7	7.7	0.25	Generation 4.
62	65	1	1	4.94213704474467E10	90.0	1.2	0.5	5.0	0.25	Generation 5.
63	66	1	1	5.06294250152653E10	110.0	1.2	0.7	6.1	0.28	Generation 5.
64	67	1	1	5.53150837050412E10	130.0	0.9	1.4	7.1	0.67	Generation 5.
65	68	1	1	6.02072861920985E10	170.0	1.2	1.2	6.6	0.67	Generation 5.
66	69	1	1	5.25797965224599E10	130.0	1.5	1.5	5.5	0.28	Generation 5.
67	70	1	1	4.90689317602947E10	100.0	0.9	2.1	7.9	0.25	Generation 5.
67	71	1	1	4.77627327899148E10	150.0	0.6	2.2	6.4	0.25	Generation 5.
67	72	1	1	5.17907336317962E10	110.0	1.2	1.1	7.8	0.28	Generation 5.
68	73	1	1	5.05949367928103E10	20.0	1.8	2.1	7.1	0.2	Generation 5.
69	74	1	1	5.02377853133449E10	140.0	0.9	1.6	7.2	0.28	Generation 5.
69	75	1	1	5.14851199743239E10	170.0	1.2	1.7	6.4	0.25	Generation 5.
70	76	1	1	5.02239146735481E10	130.0	0.9	1.7	9.5	0.28	Generation 5.
71	77	1	1	5.73403132642454E10	70.0	1.2	2.4	6.7	0.67	Generation 5.
